study_day,window,event,time,minutes
2026-09-20,-,maintenance-on,2026-09-20T17:48-04:00,
2026-09-20,-,session,2026-09-20T18:07-04:00,
2026-09-20,evening,session,2026-09-20T20:16-04:00,
2026-09-20,evening,start,2026-09-20T20:22-04:00,
2026-09-20,evening,seen,2026-09-20T20:28-04:00,
2026-09-20,evening,seen,2026-09-20T20:34-04:00,
2026-09-20,evening,seen,2026-09-20T20:48-04:00,
2026-09-20,evening,seen,2026-09-20T20:53-04:00,
2026-09-20,evening,warmup-done,2026-09-20T20:56-04:00,
2026-09-20,evening,end,2026-09-20T20:57-04:00,
2026-09-20,evening,start,2026-09-20T21:08-04:00,
2026-09-20,evening,seen,2026-09-20T21:22-04:00,
2026-09-20,evening,end,2026-09-20T21:22-04:00,
2026-09-20,evening,start,2026-09-20T21:23-04:00,
2026-09-20,evening,end,2026-09-20T21:24-04:00,

